NUMERO;NPER;SECC;SEGM;NOMBARRIO;Estrato;Sexo;Edad;E45_1;E45_2;E45_3;Fuma?;E190_1;E190_1_1;E190_2;E190_2_1;E190_3;E190_3_1;E191;E192;E197_1;E212_1;E215_1;E60 (Celular);F66 (Trabajo);F73;F74;F85 (Horas);G126_1 (Sueldo);G_ITND_1;G142;G_IT_1 (jubil);G_IT_2 (pensionistas);POBPCOAC (cond act eco);PT1 (TOTAL DE INGRESOS PERSONALES)
2018012274;1;1;1;Ciudad Vieja;3;2;77;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;2;2;0;0;0;0;2;0;1;2;10;11000
2018007377;1;1;1;Ciudad Vieja;3;2;78;2;1;2;3;0;0;0;0;0;0;0;5;2;0;0;1;2;0;0;0;0;2;0;1;2;10;41000
2018012274;2;1;1;Ciudad Vieja;3;1;83;1;2;2;3;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;2;0;1;2;10;11000
2018039493;3;1;2;Centro;3;1;10;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
2018019947;3;1;2;Centro;3;1;20;2;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;48;22000;2;0;2;2;2;26917
2018056082;3;1;2;Centro;3;2;20;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;45;22000;2;0;2;2;2;31434
2018000872;2;1;2;Centro;3;1;22;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;6;0;5;12000;1;20000;2;2;2;34037
2018024739;1;1;2;Centro;3;1;22;1;2;2;1;1;2;2;0;2;0;3;5;1;0;0;1;1;2;1;30;15000;2;0;2;2;2;17070
2018000872;1;1;2;Centro;3;1;23;2;1;2;1;2;0;1;1;2;0;1;5;1;1;0;1;1;1;0;46;35000;2;0;2;2;2;45097
2018000222;2;1;2;Centro;3;2;24;1;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;40;14000;2;0;2;2;2;16454
2018008466;1;1;2;Centro;3;2;24;2;1;2;3;0;0;0;0;0;0;0;5;1;2;2;1;1;1;0;44;18000;2;0;2;2;2;24021
2018019947;2;1;2;Centro;3;2;24;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;44;19000;2;0;2;2;2;22037
2018024739;3;1;2;Centro;3;1;24;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;36;17000;2;0;2;2;2;21070
2018054247;1;1;2;Centro;3;2;26;2;1;2;2;0;0;0;0;0;0;1;5;1;0;1;1;1;2;3;54;37000;2;0;2;2;2;39070
2018024739;2;1;2;Centro;3;1;27;2;1;2;1;1;1;2;0;2;0;3;0;1;0;0;1;1;1;0;48;15000;2;0;2;2;2;22450
2018039493;1;1;2;Centro;3;2;27;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;49;16000;2;0;2;2;2;19237
2018000222;1;1;2;Centro;3;1;29;2;1;2;1;1;1;2;0;2;0;3;5;1;0;0;1;1;1;0;48;17000;2;0;2;2;2;19054
2018019947;1;1;2;Centro;3;1;29;2;2;2;4;0;0;0;0;0;0;0;5;1;0;2;1;1;2;1;48;40000;2;0;2;2;2;42037
2018022183;1;1;2;Centro;3;1;30;2;1;2;1;1;1;2;0;2;0;3;5;1;0;0;1;2;0;0;0;0;2;0;2;2;4;0
2018006795;1;1;2;Centro;3;2;31;1;2;2;4;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1;30;17000;2;0;2;2;2;19037
2018006795;2;1;2;Centro;3;2;31;1;2;2;1;1;1;2;0;2;0;1;0;1;0;0;1;1;6;0;12;9000;1;9000;2;2;2;20037
2018014616;2;1;2;Centro;3;1;31;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;6;0;40;0;1;20000;2;2;2;22054
2018008466;2;1;2;Centro;3;1;32;1;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;50;18000;2;0;2;2;2;23115
2018039493;2;1;2;Centro;3;1;32;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;74;30000;2;0;2;2;2;32037
2018056082;1;1;2;Centro;3;1;35;2;1;2;1;1;1;2;0;2;0;1;1;1;0;0;1;1;6;0;60;0;1;40000;2;2;2;40000
2018016442;1;1;2;Centro;3;2;36;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;44;44000;2;0;2;2;2;62021
2018002296;2;1;2;Centro;3;2;38;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;35;40415;2;0;2;2;2;52128
2018056082;2;1;2;Centro;3;2;38;2;1;2;1;1;1;2;0;2;0;1;0;1;0;0;1;2;0;0;0;0;2;0;2;2;6;0
2018022183;2;1;2;Centro;3;2;40;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;50;22000;2;0;2;2;2;24070
2018016442;2;1;2;Centro;3;1;42;2;1;2;4;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;44;48000;1;6000;2;2;2;56021
2018032037;1;1;2;Centro;3;1;42;2;2;2;1;2;0;1;1;2;0;3;1;1;0;0;1;1;6;0;40;0;1;16000;2;2;2;16000
2018044377;1;1;2;Centro;3;2;42;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;2;1;45;33000;2;0;2;2;2;33000
2018002296;1;1;2;Centro;3;1;45;2;1;2;2;0;0;0;0;0;0;2;5;1;0;2;1;1;1;0;44;23100;2;0;2;2;2;32921
2018032037;2;1;2;Centro;3;1;50;1;2;2;1;1;2;2;0;2;0;3;0;1;1;0;1;1;6;0;30;0;1;26000;2;2;2;26000
2018014616;1;1;2;Centro;3;2;61;2;1;2;3;0;0;0;0;0;0;0;5;1;1;0;1;1;1;0;40;40000;2;0;2;2;2;42054
2018035984;1;1;2;Centro;3;1;84;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;6;0;15;0;1;2000;1;2;2;18000
2018045619;1;1;2;Centro;3;1;86;2;1;2;1;1;2;2;0;2;0;1;1;0;0;0;2;2;0;0;0;0;2;0;1;2;10;11000
2018035984;2;1;2;Centro;3;2;89;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;2;0;2;1;9;9000
2018031920;2;1;3;Ciudad Vieja;3;2;22;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;3;0
2018056857;3;1;3;Ciudad Vieja;3;1;26;2;1;2;4;0;0;0;0;0;0;0;0;1;2;0;2;1;1;0;15;4800;2;0;2;2;2;7038
2018051241;2;1;3;Ciudad Vieja;3;1;28;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;40;30000;2;0;2;2;2;35024
2018051241;1;1;3;Ciudad Vieja;3;1;30;2;1;2;4;0;0;0;0;0;0;0;3;1;0;0;1;1;1;0;20;11400;2;0;2;2;2;20424
2018056857;2;1;3;Ciudad Vieja;3;2;34;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;2;0;2;1;9;22000
2018016212;1;1;3;Ciudad Vieja;3;2;56;2;1;2;1;1;1;2;0;2;0;1;1;1;0;0;1;1;1;0;40;80000;2;0;2;2;2;84808
2018052855;1;1;3;Ciudad Vieja;3;2;56;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;2;1;70;27000;2;0;2;2;2;32738
2018055676;1;1;3;Ciudad Vieja;3;2;58;2;1;2;4;0;0;0;0;0;0;0;5;1;0;1;1;2;2;3;40;65000;2;0;2;2;2;68308
2018035800;1;1;3;Ciudad Vieja;3;1;60;2;1;2;3;0;0;0;0;0;0;0;5;1;0;2;1;1;1;0;30;27000;1;50000;2;2;2;79024
