Seccion.Segmento;Cantidad de personas;Promedio de Estrato;Suma de PT1;Promedio de PT1_2
10.47;29;5;1088569;37536.86207
10.42;29;5;850524;29328.41379
2.1;29;1;648547;22363.68966
24.109;28;4;1264042;45144.35714
3.101;27;2;651495;24129.44444
7.103;27;3;1121307;41529.88889
3.204;26;2;637978;24537.61538
10.136;26;4;996310;38319.61538
7.107;26;3;896184;34468.61538
15.103;26;3;746621;28716.19231
10.237;25;4;1089418;43576.72
18.225;25;5;1591147;63645.88
18.219;25;5;1447613;57904.52
24.223;25;4;794068;31762.72
15.207;25;4;691214;27648.56
5.101;25;4;1100543;44021.72
23.107;25;4;869749;34789.96
5.201;24;4;885566;36898.58333
24.123;24;4;966808;40283.66667
6.101;24;4;977601;40733.375
23.111;24;4;786171;32757.125
24.319;23;4;603190;26225.65217
24.208;23;4;990379;43059.95652
24.5;23;5;1370629;59592.56522
10.249;22;4;1728215;78555.22727
18.112;22;5;1212431;55110.5
24.106;22;4;836949;38043.13636
10.229;21;4;614461;29260.04762
7.204;21;3;735101;35004.80952
18.120;21;4;796746;37940.28571
23.110;21;4;777244;37011.61905
10.268;20;4;889228;44461.4
10.227;20;3;552024;27601.2
15.208;20;4;833715;41685.75
10.133;20;4;1257622;62881.1
18.121;20;5;947522;47376.1
18.319;19;4;652347;34334.05263
18.301;19;5;703946;37049.78947
18.215;19;5;676422;35601.15789
15.114;19;5;988711;52037.42105
15.13;19;4;956797;50357.73684
15.1;19;2;441371;23230.05263
24.221;18;4;511857;28436.5
15.109;18;4;707656;39314.22222
24.226;17;4;730410;42965.29412
18.202;17;5;973829;57284.05882
24.122;17;4;775235;45602.05882
24.110;17;4;858296;50488
10.71;17;5;677400;39847.05882
1.3;17;3;647539;38090.52941
15.305;16;4;537280;33580
24.212;16;4;741395;46337.1875
18.130;16;4;1786163;111635.1875
1.104;16;3;465426;29089.125
2.102;16;3;313954;19622.125
10.248;15;4;273390;18226
24.209;15;4;735944;49062.93333
24.207;15;4;791397;52759.8
15.108;15;4;367672;24511.46667
10.62;15;5;454784;30318.93333
15.205;14;3;511755;36553.92857
7.102;14;3;480040;34288.57143
24.115;14;4;374056;26718.28571
24.120;13;4;709587;54583.61538
24.219;12;4;633709;52809.08333
15.204;12;3;461971;38497.58333
3.102;12;3;409040;34086.66667
7.207;11;3;274693;24972.09091
15.211;11;4;308075;28006.81818
10.131;11;4;353571;32142.81818
18.224;10;4;551431;55143.1
1.204;10;3;288271;28827.1
10.57;10;4;431168;43116.8
6.203;9;4;262584;29176
7.202;9;3;249203;27689.22222
7.108;9;4;607034;67448.22222
15.111;9;4;244355;27150.55556
24.118;9;4;211355;23483.88889
10.56;9;4;232668;25852
7.9;9;4;971502;107944.6667
2.4;9;3;184012;20445.77778
18.230;8;4;403401;50425.125
3.104;8;3;532837;66604.625
